# OpenSignals Text File Format. Version 1
# {"98:D3:91:FD:57:C6": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:91:FD:57:C6", "device connection": "BTH98:D3:91:FD:57:C6", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1281, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2022-6-28", "time": "8:31:15.847", "channels": [2], "sensor": ["ECGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1], "convertedValues": 0}}
# EndOfHeader
0	0	0	0	0	652
1	0	0	0	0	919
2	0	0	0	0	969
3	0	0	0	0	452
4	0	0	0	0	276
5	0	0	0	0	364
6	0	0	0	0	424
7	0	0	0	0	432
8	0	0	0	0	440
9	0	0	0	0	448
10	0	0	0	0	467
11	0	0	0	0	469
12	0	0	0	0	484
13	0	0	0	0	483
14	0	0	0	0	492
15	0	0	0	0	492
0	0	0	0	0	505
1	0	0	0	0	505
2	0	0	0	0	520
3	0	0	0	0	513
4	0	0	0	0	515
5	0	0	0	0	531
6	0	0	0	0	525
7	0	0	0	0	534
8	0	0	0	0	531
9	0	0	0	0	526
10	0	0	0	0	526
11	0	0	0	0	526
12	0	0	0	0	521
13	0	0	0	0	517
14	0	0	0	0	510
15	0	0	0	0	503
0	0	0	0	0	500
1	0	0	0	0	501
2	0	0	0	0	492
3	0	0	0	0	490
4	0	0	0	0	493
5	0	0	0	0	488
6	0	0	0	0	497
7	0	0	0	0	513
8	0	0	0	0	510
9	0	0	0	0	511
10	0	0	0	0	512
11	0	0	0	0	517
12	0	0	0	0	518
13	0	0	0	0	517
14	0	0	0	0	519
15	0	0	0	0	513
0	0	0	0	0	514
1	0	0	0	0	509
2	0	0	0	0	498
3	0	0	0	0	503
4	0	0	0	0	499
5	0	0	0	0	504
6	0	0	0	0	503
7	0	0	0	0	489
8	0	0	0	0	528
9	0	0	0	0	535
10	0	0	0	0	532
11	0	0	0	0	547
12	0	0	0	0	547
13	0	0	0	0	528
14	0	0	0	0	515
15	0	0	0	0	497
0	0	0	0	0	479
1	0	0	0	0	473
2	0	0	0	0	476
3	0	0	0	0	471
4	0	0	0	0	489
5	0	0	0	0	480
6	0	0	0	0	478
7	0	0	0	0	491
8	0	0	0	0	491
9	0	0	0	0	478
10	0	0	0	0	546
11	0	0	0	0	782
12	0	0	0	0	1022
13	0	0	0	0	650
14	0	0	0	0	277
15	0	0	0	0	311
0	0	0	0	0	415
1	0	0	0	0	420
2	0	0	0	0	439
3	0	0	0	0	441
4	0	0	0	0	447
5	0	0	0	0	469
6	0	0	0	0	467
7	0	0	0	0	479
8	0	0	0	0	486
9	0	0	0	0	492
10	0	0	0	0	494
11	0	0	0	0	502
12	0	0	0	0	505
13	0	0	0	0	510
14	0	0	0	0	519
15	0	0	0	0	523
0	0	0	0	0	518
1	0	0	0	0	516
2	0	0	0	0	520
3	0	0	0	0	524
4	0	0	0	0	517
5	0	0	0	0	518
6	0	0	0	0	511
7	0	0	0	0	506
8	0	0	0	0	497
9	0	0	0	0	502
10	0	0	0	0	494
11	0	0	0	0	490
12	0	0	0	0	495
13	0	0	0	0	484
14	0	0	0	0	473
15	0	0	0	0	484
0	0	0	0	0	484
1	0	0	0	0	496
2	0	0	0	0	506
3	0	0	0	0	511
4	0	0	0	0	511
